c_Colonia,c_CodigoPostal,Nombre del asentamiento,,,,,,,,,
1809,47188,El Tule,,,,,,,,,
1809,52168,Villas Alteza,,,,,,,,,
1809,60486,Araparícuaro (Aparícuaro),,,,,,,,,
1809,62748,Tabachines,,,,,,,,,
1809,63533,San Isidro,,,,,,,,,
1809,67184,Pablo Livas,,,,,,,,,
1809,69806,Santa Lucrecia,,,,,,,,,
1809,74695,Huajoyuca,,,,,,,,,
1809,76904,Los Vitrales,,,,,,,,,
1809,78623,Santo Niño,,,,,,,,,
1809,80805,Fovissste,,,,,,,,,
1809,83336,El Progreso,,,,,,,,,
1809,86930,Monte Libano,,,,,,,,,
1809,89679,Las Alazanas,,,,,,,,,
1809,92065,La Covacha,,,,,,,,,
1809,97115,Ampliación Cordemex,,,,,,,,,
1810,11479,Unidad Legaria IMSS,,,,,,,,,
1810,21399,Tavizan Silva,,,,,,,,,
1810,25110,Evaristo Arriola Pérez,,,,,,,,,
1810,30835,Tinajas 1a Secc,,,,,,,,,
1810,35938,La Escalera,,,,,,,,,
1810,37630,Ciudad Ocampo,,,,,,,,,
1810,40045,Lomas de los Coyotes,,,,,,,,,
1810,43700,Jaltepec,,,,,,,,,
1810,47188,La Ermita,,,,,,,,,
1810,52169,Juan Fernández Albarrán,,,,,,,,,
1810,60485,Condémbaro,,,,,,,,,
1810,62757,Lázaro Cárdenas 3a Ampliación,,,,,,,,,
1810,63543,San Isidro,,,,,,,,,
1810,67184,Santa Isabel,,,,,,,,,
1810,74695,Moralillo,,,,,,,,,
1810,76902,Privada Campestre,,,,,,,,,
1810,78622,La Paz,,,,,,,,,
1810,82704,Pedregal,,,,,,,,,
1810,83306,La Cruz,,,,,,,,,
1810,86930,Magisterial,,,,,,,,,
1810,89710,Villa González Centro,,,,,,,,,
1810,93650,Colegio Militar,,,,,,,,,
1810,97120,Ampliación del Norte (1a. Ampliación),,,,,,,,,
1811,11480,Francisco I Madero,,,,,,,,,
1811,21399,Los Laureles,,,,,,,,,
1811,25110,Valle de las Torres,,,,,,,,,
1811,30833,Tinajas 2a Secc,,,,,,,,,
1811,33477,Dolores,,,,,,,,,
1811,35940,Santa Cruz del Orégano (el Orégano),,,,,,,,,
1811,37631,Gachupines,,,,,,,,,
