municipality,state,description,start_date,end_date
005,JAL,Amatitán,1/1/22,
005,MEX,Almoloya de Juárez,1/1/22,
005,MIC,Angangueo,1/1/22,
005,MOR,Coatlán del Río,1/1/22,
005,NAY,Huajicori,1/1/22,
005,NLE,Anáhuac,1/1/22,
005,OAX,Asunción Ixtaltepec,1/1/22,
005,PUE,Acteopan,1/1/22,
005,QUE,Colón,1/1/22,
005,ROO,Benito Juárez,1/1/22,
005,SIN,Cosalá,1/1/22,
005,SLP,Cárdenas,1/1/22,
005,SON,Arivechi,1/1/22,
005,TAB,Comalcalco,1/1/22,
005,TAM,Burgos,1/1/22,
005,TLA,Apizaco,1/1/22,
005,VER,Acula,1/1/22,
005,YUC,Bokobá,1/1/22,
005,ZAC,Calera,1/1/22,
006,AGU,Pabellón de Arteaga,1/1/22,
006,CAM,Hopelchén,1/1/22,
006,COA,Castaños,1/1/22,
006,COL,Ixtlahuacán,1/1/22,
006,CHH,Bachíniva,1/1/22,
006,CHP,Amatenango de la Frontera,1/1/22,
006,CMX,Iztacalco,1/1/22,
006,DUR,General Simón Bolívar,1/1/22,
006,GRO,Apaxtla,1/1/22,
006,GUA,Atarjea,1/1/22,
006,HID,Alfajayucan,1/1/22,
006,JAL,Ameca,1/1/22,
006,MEX,Almoloya del Río,1/1/22,
006,MIC,Apatzingán,1/1/22,
006,MOR,Cuautla,1/1/22,
006,NAY,Ixtlán del Río,1/1/22,
006,NLE,Apodaca,1/1/22,
006,OAX,Asunción Nochixtlán,1/1/22,
006,PUE,Ahuacatlán,1/1/22,
006,QUE,Corregidora,1/1/22,
006,ROO,José María Morelos,1/1/22,
006,SIN,Culiacán,1/1/22,
006,SLP,Catorce,1/1/22,
006,SON,Arizpe,1/1/22,
006,TAB,Cunduacán,1/1/22,
006,TAM,Bustamante,1/1/22,
006,TLA,Calpulalpan,1/1/22,
006,VER,Acultzingo,1/1/22,
006,YUC,Buctzotz,1/1/22,
006,ZAC,Cañitas de Felipe Pescador,1/1/22,
007,AGU,Rincón de Romos,1/1/22,
007,CAM,Palizada,1/1/22,
007,COA,Cuatro Ciénegas,1/1/22,
007,COL,Manzanillo,1/1/22,
007,CHH,Balleza,1/1/22,
007,CHP,Amatenango del Valle,1/1/22,
007,CMX,Iztapalapa,1/1/22,
007,DUR,Gómez Palacio,1/1/22,
007,GRO,Arcelia,1/1/22,
007,GUA,Celaya,1/1/22,
007,HID,Almoloya,1/1/22,
007,JAL,San Juanito de Escobedo,1/1/22,
007,MEX,Amanalco,1/1/22,
007,MIC,Aporo,1/1/22,
007,MOR,Cuernavaca,1/1/22,
007,NAY,Jala,1/1/22,
007,NLE,Aramberri,1/1/22,
007,OAX,Asunción Ocotlán,1/1/22,
007,PUE,Ahuatlán,1/1/22,
007,QUE,Ezequiel Montes,1/1/22,
007,ROO,Lázaro Cárdenas,1/1/22,
007,SIN,Choix,1/1/22,
007,SLP,Cedral,1/1/22,
007,SON,Atil,1/1/22,
007,TAB,Emiliano Zapata,1/1/22,
007,TAM,Camargo,1/1/22,
007,TLA,El Carmen Tequexquitla,1/1/22,
007,VER,Camarón de Tejeda,1/1/22,
007,YUC,Cacalchén,1/1/22,
007,ZAC,Concepción del Oro,1/1/22,
008,AGU,San José de Gracia,1/1/22,
008,BCS,Los Cabos,1/1/22,
008,CAM,Tenabo,1/1/22,
008,COA,Escobedo,1/1/22,
008,COL,Minatitlán,1/1/22,
008,CHH,Batopilas,1/1/22,
008,CHP,Angel Albino Corzo,1/1/22,
008,CMX,La Magdalena Contreras,1/1/22,
008,DUR,Guadalupe Victoria,1/1/22,
008,GRO,Atenango del Río,1/1/22,
008,GUA,Manuel Doblado,1/1/22,
008,HID,Apan,1/1/22,
008,JAL,Arandas,1/1/22,
008,MEX,Amatepec,1/1/22,
008,MIC,Aquila,1/1/22,
008,MOR,Emiliano Zapata,1/1/22,
008,NAY,Xalisco,1/1/22,
008,NLE,Bustamante,1/1/22,
008,OAX,Asunción Tlacolulita,1/1/22,
008,PUE,Ahuazotepec,1/1/22,
008,QUE,Huimilpan,1/1/22,
008,ROO,Solidaridad,1/1/22,
008,SIN,Elota,1/1/22,
008,SLP,Cerritos,1/1/22,
008,SON,Bacadéhuachi,1/1/22,
008,TAB,Huimanguillo,1/1/22,
008,TAM,Casas,1/1/22,
008,TLA,Cuapiaxtla,1/1/22,
008,VER,Alpatláhuac,1/1/22,
008,YUC,Calotmul,1/1/22,
008,ZAC,Cuauhtémoc,1/1/22,
009,AGU,Tepezalá,1/1/22,
009,BCS,Loreto,1/1/22,
009,CAM,Escárcega,1/1/22,
009,COA,Francisco I. Madero,1/1/22,
009,COL,Tecomán,1/1/22,
009,CHH,Bocoyna,1/1/22,
009,CHP,Arriaga,1/1/22,
009,CMX,Milpa Alta,1/1/22,
009,DUR,Guanaceví,1/1/22,
009,GRO,Atlamajalcingo del Monte,1/1/22,
009,GUA,Comonfort,1/1/22,
009,HID,El Arenal,1/1/22,
009,JAL,El Arenal,1/1/22,
009,MEX,Amecameca,1/1/22,
009,MIC,Ario,1/1/22,
009,MOR,Huitzilac,1/1/22,
009,NAY,Del Nayar,1/1/22,
009,NLE,Cadereyta Jiménez,1/1/22,
009,OAX,Ayotzintepec,1/1/22,
009,PUE,Ahuehuetitla,1/1/22,
009,QUE,Jalpan de Serra,1/1/22,
009,ROO,Tulum,1/1/22,
009,SIN,Escuinapa,1/1/22,
009,SLP,Cerro de San Pedro,1/1/22,
009,SON,Bacanora,1/1/22,
009,TAB,Jalapa,1/1/22,
009,TAM,Ciudad Madero,1/1/22,
009,TLA,Cuaxomulco,1/1/22,
009,VER,Alto Lucero de Gutiérrez Barrios,1/1/22,
009,YUC,Cansahcab,1/1/22,
009,ZAC,Chalchihuites,1/1/22,
010,AGU,El Llano,1/1/22,
010,CAM,Calakmul,1/1/22,
010,COA,Frontera,1/1/22,
010,COL,Villa de Álvarez,1/1/22,
010,CHH,Buenaventura,1/1/22,
010,CHP,Bejucal de Ocampo,1/1/22,
010,CMX,Álvaro Obregón,1/1/22,
010,DUR,Hidalgo,1/1/22,
010,GRO,Atlixtac,1/1/22,
010,GUA,Coroneo,1/1/22,
010,HID,Atitalaquia,1/1/22,
010,JAL,Atemajac de Brizuela,1/1/22,
010,MEX,Apaxco,1/1/22,
010,MIC,Arteaga,1/1/22,
010,MOR,Jantetelco,1/1/22,
010,NAY,Rosamorada,1/1/22,
010,NLE,El Carmen,1/1/22,
010,OAX,El Barrio de la Soledad,1/1/22,
010,PUE,Ajalpan,1/1/22,
010,QUE,Landa de Matamoros,1/1/22,
010,ROO,Bacalar,1/1/22,
010,SIN,El Fuerte,1/1/22,
010,SLP,Ciudad del Maíz,1/1/22,
010,SON,Bacerac,1/1/22,
010,TAB,Jalpa de Méndez,1/1/22,
010,TAM,Cruillas,1/1/22,
010,TLA,Chiautempan,1/1/22,
010,VER,Altotonga,1/1/22,
010,YUC,Cantamayec,1/1/22,
010,ZAC,Fresnillo,1/1/22,
011,AGU,San Francisco de los Romo,1/1/22,
011,CAM,Candelaria,1/1/22,
011,COA,General Cepeda,1/1/22,
011,CHH,Camargo,1/1/22,
011,CHP,Bella Vista,1/1/22,
011,CMX,Tláhuac,1/1/22,
