document_type,description,min,max,start_date,end_date
I,Ingreso,999999999999999999.999999,999999999999999999.999999,1/1/22,
E,Egreso,999999999999999999.999999,999999999999999999.999999,1/1/22,
T,Traslado,0,0,1/1/22,
N,Nómina,999999999999999999.999999,999999999999999999.999999,1/1/22,
P,Pago,999999999999999999.999999,999999999999999999.999999,1/1/22,
